2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Yapimaks Scraper basliyor (async)
2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-21 07:38:47 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-21 07:38:48 [INFO] Cookie basariyla alindi.
2026-09-21 07:38:48 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-21 07:38:49 [INFO] Sitemap'ten toplam 8389 urun URL'si bulundu.
2026-09-21 07:38:49 [INFO] Dunun dosyasi: 2026-09-20.csv
2026-09-21 07:38:49 [INFO] Dunun dosyasinda 8594 urun var.
2026-09-21 07:38:49 [INFO] GUNLUK BUTCE: 1224 urun aday — hepsi bu koşuda tazelenir.
2026-09-21 07:38:49 [INFO] Tasinacak (degismeyen) urun: 8594 | Yeniden cekilecek: 1224
2026-09-21 07:40:29 [INFO] [15570] 'ŞARJ KABLO TYPE C-TYPE C 1M 60W BEYAZ S-' | 140.00 TL | SKU: JOYROOM.S-A9-B
2026-09-21 07:40:31 [INFO] [3373] 'AUTOKIT MAGİC DOSE GÜÇLÜ TEMİZLEYİCİ UNİ' | 172.00 TL | SKU: AUTOKİT.FA1-143
2026-09-21 07:40:32 [INFO] [1478] 'ARDUAZLI SHINGLE RULO KIRMIZI YONCA (10M' | 1200.00 TL | SKU: BİKAMAX.FLEX01
2026-09-21 07:40:33 [INFO] [9100] 'SUNTA VİDASI 4x70 STD (200)' | 200.00 TL | SKU: STD.900053700
2026-09-21 07:40:34 [INFO] [15409] 'MANTOLAMA DÜBELİ EURO PVC ÇİVİLİ 13.5 CM' | 3.50 TL | SKU: DARKSS.MDÇ.13.6
2026-09-21 07:40:36 [INFO] [13638] 'SU DEPOSU 1000 LT 3 KAT MAVİ YATAY 89X96' | 6900.00 TL | SKU: SU DEPOSU.1000.006
2026-09-21 07:40:37 [INFO] [1480] 'ARDUAZLI SHINGLE RULO YEŞİL YONCA (10M2)' | 1200.00 TL | SKU: BİKAMAX.FLEX03
2026-09-21 07:40:38 [INFO] [4257] '0.30*875*200 OLUKLU' | 300.00 TL | SKU: GLV.SAC.030.2000
2026-09-21 07:40:39 [INFO] [4258] '0.30*875*250 OLUKLU' | 375.00 TL | SKU: GLV.SAC.030.2500
2026-09-21 07:40:41 [INFO] [15800] 'SUNTA VİDASI 5X100 (100) AKDENİZ' | 190.00 TL | SKU: AKDENİZ.VSUN5X100
2026-09-21 07:40:42 [INFO] [4254] '0.30 TRAPEZ MAHYA' | 125.00 TL | SKU: GLV.SAC.030.TMHY
