2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Yapimaks Scraper basliyor (async)
2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-19 07:02:58 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-19 07:02:59 [INFO] Cookie basariyla alindi.
2026-09-19 07:02:59 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-19 07:02:59 [INFO] Sitemap'ten toplam 8384 urun URL'si bulundu.
2026-09-19 07:02:59 [INFO] Dunun dosyasi: 2026-09-18.csv
2026-09-19 07:03:00 [INFO] Dunun dosyasinda 8586 urun var.
2026-09-19 07:03:00 [WARNING] GUNLUK BUTCE: 5617 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 3117 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-19 07:03:00 [INFO] Tasinacak (degismeyen) urun: 8586 | Yeniden cekilecek: 2500
2026-09-19 07:04:56 [INFO] [8699] 'HURÇ VAKUMLU JUMBO 73X130CM' | 139.00 TL | SKU: SERMAT.EV316
2026-09-19 07:04:57 [INFO] [8698] 'HURÇ VAKUMLU XXL 80X100CM' | 114.00 TL | SKU: SERMAT.EV315
2026-09-19 07:04:59 [INFO] [8697] 'HURÇ VAKUMLU XL 55X90CM' | 94.00 TL | SKU: SERMAT.EV314
2026-09-19 07:05:00 [INFO] [8695] 'HURÇ TELA MEGA YORGAN' | 110.00 TL | SKU: SERMAT.EV121
2026-09-19 07:05:01 [INFO] [6091] 'İÇ CEPHE BOYASI BEYAZ (7.5 LT) MOMENTOMA' | 2750.00 TL | SKU: FİLLİ.MOMENTOMAX.BEYAZ.7,5L
2026-09-19 07:05:01 [INFO] ... ilerleme 100/2500 (tazelenen 100, basarisiz 0, korunan 0, atlanan 0)
2026-09-19 07:05:02 [INFO] [6083] 'İÇ CEPHE BOYASI RG1 (2.5 LT) MOMENTOMAX' | 1000.00 TL | SKU: FİLLİ.MOMENTOMAX.RG1.2,5L
2026-09-19 07:05:04 [INFO] [14770] 'İÇ CEPHE BOYASI RG1 2.5 LT MOMENTOSİLAN' | 1000.00 TL | SKU: FİLLİ.MOMENTOSİLAN.RG1.2,5L
2026-09-19 07:05:05 [INFO] [4565] 'HSS MATKAP UCU 9,5mm' | 60.00 TL | SKU: HSS.0095
2026-09-19 07:05:06 [INFO] [6089] 'İÇ CEPHE BOYASI RG2 (2.5 LT) MOMENTOMAX' | 1000.00 TL | SKU: FİLLİ.MOMENTOMAX.RG2.2,5L
2026-09-19 07:05:07 [INFO] [6097] 'İÇ CEPHE BOYASI RG2 (7.5 LT) MOMENTOMAX' | 2750.00 TL | SKU: FİLLİ.MOMENTOMAX.RG2.7,5L
2026-09-19 07:05:09 [INFO] [6090] 'İÇ CEPHE BOYASI BEYAZ (2.5 LT) MOMENTOMA' | 1000.00 TL | SKU: FİLLİ.MOMENTOMAX.BEYAZ.2,5L
2026-09-19 07:05:10 [INFO] [6092] 'İÇ CEPHE BOYASI BEYAZ (15 LT) MOMENTOMAX' | 4500.00 TL | SKU: FİLLİ.MOMENTOMAX.BEYAZ.15L
2026-09-19 07:05:11 [INFO] [6094] 'İÇ CEPHE BOYASI RG3 (2.5 LT) MOMENTOMAX' | 1000.00 TL | SKU: FİLLİ.MOMENTOMAX.RG3.2,5L
2026-09-19 07:05:12 [INFO] [4563] 'HSS MATKAP UCU 8,5mm' | 50.00 TL | SKU: HSS.0085
2026-09-19 07:05:14 [INFO] [6084] 'İÇ CEPHE BOYASI RG4 (2.5 LT) MOMENTOMAX' | 1000.00 TL | SKU: FİLLİ.MOMENTOMAX.RG4.2,5L
2026-09-19 07:05:15 [INFO] [10781] 'İÇ CEPHE BOYASI RG4 2.5 LT MOMENTOSİLAN' | 1000.00 TL | SKU: FİLLİ.MOMENTOSİLAN.RG4.2,5L
