date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,samsung galaxy tab s8,samsung galaxy tab s8,epeykatfg,08,,,,28.14715480271499,16.671736512473913,epeykatfg
2026-09-06,samsung rt58k704rww,samsung rt58k704rww,epeykatfg,05,,,,-1.0186440677966035,5.038279569892468,epeykatfg
2026-09-06,samsung scx 4623f,samsung scx 4623f,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,samsung windfree premium black 12,samsung windfree premium black 12,epeykatfg,05,,,,0.0,-8.13307959839884,epeykatfg
2026-09-06,sandisk extreme pro sdsdxxd 256g gn4in,sandisk extreme pro sdsdxxd 256g gn4in,epeykatfg,08,,,,-8.240275616803727,-11.31593136886334,epeykatfg
2026-09-06,sandisk extreme sdsdxva 128g gncin,sandisk extreme sdsdxva 128g gncin,epeykatfg,08,,,,0.0,-0.27158169177288194,epeykatfg
2026-09-06,sandisk ultra sdsdunr 064g gn6in,sandisk ultra sdsdunr 064g gn6in,epeykatfg,08,,,,13.043478260869556,13.043478260869556,epeykatfg
2026-09-06,sandisk ultra sdsqua4 032g gn6mn,sandisk ultra sdsqua4 032g gn6mn,epeykatfg,08,,,,-15.000000000000002,-15.000000000000002,epeykatfg
2026-09-06,sarftech a2 7 led,sarftech a2 7 led,epeykatfg,05,,,,,,epeykatfg
2026-09-06,saubern bnt9608,saubern bnt9608,epeykatfg,06,,,,0.0,-2.222070751823324,epeykatfg
2026-09-06,sbs 37393,sbs 37393,epeykatfg,08,,,,,-48.16901408450705,epeykatfg
2026-09-06,schafer grill chef,schafer grill chef,epeykatfg,05,,,,-6.784565916398721,-9.660330320972266,epeykatfg
2026-09-06,schafer mina krm01,schafer mina krm01,epeykatfg,05,,,,0.0,,epeykatfg
2026-09-06,schafer teepoint,schafer teepoint,epeykatfg,05,,,,73.96345437429095,37.47067238912734,epeykatfg
2026-09-06,schafer trendy 8 parca celik tencere seti,schafer trendy 8 parca celik tencere seti,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,seg kmh 90m10,seg kmh 90m10,epeykatfg,05,,,,9.396603798912672,8.667244482965542,epeykatfg
2026-09-06,senna 50snf9000u,senna 50snf9000u,epeykatfg,09,,,,0.0,0.0,epeykatfg
2026-09-06,senocak d 621 df ix,senocak d 621 df ix,epeykatfg,05,,,,-4.3010752688172005,-4.3010752688172005,epeykatfg
2026-09-06,severin at 2510,severin at 2510,epeykatfg,05,,,,16.00866955651883,16.00866955651883,epeykatfg
2026-09-06,shark neverchange5 compact pro hp072eu,shark neverchange5 compact pro hp072eu,epeykatfg,05,,,,-16.669444907484575,-16.669444907484575,epeykatfg
2026-09-06,siemens ep7a6qi40o,siemens ep7a6qi40o,epeykatfg,05,,,,5.152358112190503,4.067142857142869,epeykatfg
2026-09-06,siemens sn23hw62mt,siemens sn23hw62mt,epeykatfg,05,,,,4.846206569819578,-7.316570041472481,epeykatfg
2026-09-06,siemens sn53is62mt,siemens sn53is62mt,epeykatfg,05,,,,0.24166119696880095,3.3879007938950156,epeykatfg
