District,Rooms,Price
Erbaa,2+1,20.000 TL
Zile,1+1,20.000 TL
Zile,3+1,20.000 TL
Merkez / Karşıyaka,2+1,20.000 TL
Turhal,3+1,20.000 TL
Erbaa,3+1,20.000 TL
Merkez,3+1,20.000 TL
Merkez / Karşıyaka,4+2,20.000 TL
Almus,3+1,20.000 TL
Merkez,1+1,20.000 TL
Merkez / Perakende,3+1,20.000 TL
Merkez,3+1,20.000 TL
Turhal,3+1,20.000 TL
Erbaa,3+1,20.000 TL
Merkez,2+0,20.000 TL
Niksar,3+1,20.000 TL
Merkez,1+1,20.000 TL
Turhal,2+1,20.000 TL
Merkez / Karşıyaka,2+1,20.000 TL
Erbaa,2+0,20.000 TL
Ordu / Altınordu,1+1,20.050 TL
Karabük / Merkez,1+1,20.100 TL
Ankara / Sincan,3+1,20.100 TL
Balıkesir / Altıeylül,1+1,20.250 TL
Gaziantep / Şehitkamil,3+1,20.250 TL
Hatay / Belen,3+1,20.250 TL
İzmir / Çiğli,1+1,20.250 TL
Kahramanmaraş / Onikişubat,2+1,20.250 TL
Kocaeli / İzmit,3+1,20.250 TL
Kocaeli / İzmit,3+1,20.250 TL
Erzincan / Merkez,1+1,20.250 TL
Rize / Merkez,2+1,20.250 TL
Antalya / Kepez,1+1,20.250 TL
Merkez,2+0,20.500 TL
Merkez / Karşıyaka,2+1,20.500 TL
Merkez,3+1,20.500 TL
Merkez,3+1,20.500 TL
Merkez,1+1,20.500 TL
Turhal,3.5+1,20.500 TL
Merkez / Karşıyaka,2+1,20.500 TL
Merkez / Köyler,3+1,20.500 TL
Merkez,3+1,20.500 TL
Merkez,1+1,20.500 TL
Merkez / Karşıyaka,2+1,20.500 TL
Merkez / Karşıyaka,3+1,20.500 TL
Merkez / Karşıyaka,3+1,20.500 TL
Merkez,1+1,20.500 TL
Merkez,1+1,20.500 TL
Merkez,3+1,20.500 TL
Merkez / Karşıyaka,2+1,21.000 TL
Merkez,1+1,21.000 TL
Merkez,1+1,20.750 TL
Erbaa,3+1,21.000 TL
Merkez,3+1,21.000 TL
Merkez / Köyler,3+1,21.000 TL
Merkez,1+1,21.000 TL
Merkez,2+1,21.000 TL
Merkez / Köyler,3+1,21.000 TL
Merkez / Karşıyaka,2+1,21.000 TL
Merkez,1+1,21.000 TL
Merkez,3+1,21.000 TL
Merkez,2+0,21.000 TL
Merkez,1+1,21.000 TL
Merkez,3+1,21.000 TL
Turhal,3+1,21.000 TL
Merkez / Karşıyaka,1+1,21.000 TL
Erbaa,3+1,21.000 TL
Merkez / Karşıyaka,2+1,21.000 TL
Merkez,3+1,21.000 TL
Merkez / Karşıyaka,2+1,21.000 TL
Merkez,3+1,21.000 TL
Erbaa,3+1,21.000 TL
Merkez,1+1,21.000 TL
Merkez / Karşıyaka,3+1,21.000 TL
Merkez / Karşıyaka,3+1,21.000 TL
Turhal,3+1,21.000 TL
Merkez,3+1,20.750 TL
Erbaa / Köyler,3+1,21.000 TL
Merkez / Karşıyaka,3+1,21.500 TL
Turhal,5+2,22.000 TL
Merkez,3+1,21.750 TL
Merkez,3+1,22.000 TL
Merkez / Perakende,3+1,22.000 TL
Merkez,3+1,22.000 TL
Merkez,2+1,21.500 TL
Niksar,3+1,22.000 TL
Merkez / Karşıyaka,3+1,22.000 TL
Merkez / Karşıyaka,3+1,22.000 TL
Merkez,3+1,22.000 TL
Merkez,2+1,21.500 TL
Merkez / Karşıyaka,3+1,22.000 TL
Merkez,3+1,22.000 TL
Merkez,1+1,22.000 TL
Merkez,3+1,21.500 TL
Merkez,4+1,21.500 TL
Merkez,3+1,21.500 TL
Merkez / Karşıyaka,1+1,22.000 TL
Merkez,3+1,22.000 TL
Turhal,3+1,22.000 TL
Merkez,3+1,22.000 TL
Merkez,1+1,22.000 TL
Turhal,3+1,22.000 TL
Turhal,2+1,22.000 TL
Merkez / Köyler,3.5+1,21.500 TL
Merkez,3+1,21.500 TL
Merkez,2+1,22.000 TL
Merkez / Karşıyaka,2+1,22.000 TL
Merkez,4+1,21.500 TL
Merkez,3+1,23.500 TL
Erbaa,3+1,22.500 TL
Merkez,3+1,23.000 TL
Turhal,4+1,22.500 TL
Merkez / Karşıyaka,1+1,22.500 TL
Merkez,1+1,23.000 TL
Merkez,4+1,23.000 TL
Merkez,5+1,23.000 TL
Merkez,3+1,23.000 TL
Merkez,1+1,23.000 TL
Merkez,4+1,23.000 TL
Merkez,1+1,23.000 TL
Merkez,3+1,23.500 TL
Merkez / Köyler,3+1,23.000 TL
Merkez / Karşıyaka,4+1,23.500 TL
Erbaa,3+1,23.000 TL
Turhal,3+1,23.000 TL
Merkez,3+1,23.000 TL
Merkez,3+1,23.000 TL
Erbaa,3+1,23.000 TL
Merkez,3+1,22.500 TL
Zile,3+1,23.000 TL
Merkez / Perakende,3+1,23.000 TL
Merkez / Karşıyaka,3+1,23.000 TL
Merkez,2+0,23.000 TL
Merkez,3+1,23.000 TL
Merkez,3+1,23.000 TL
Merkez,3+1,22.500 TL
Merkez,1+1,23.500 TL
Merkez,3+1,23.500 TL
Merkez,3+1,23.500 TL
Turhal,4.5+1,22.500 TL
Merkez / Karşıyaka,2.5+1,23.000 TL
Zile,3+1,23.000 TL
Merkez / Karşıyaka,2+1,22.500 TL
Merkez,3+1,24.500 TL
Merkez,2+1,24.000 TL
Merkez / Köyler,3+1,24.000 TL
Merkez,2+1,24.000 TL
Turhal,3+1,24.000 TL
