Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
Kadin,301,M404299033-0022-0027,VİZON CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M405386582-0021,BEJ KRUVAZE YAKA CEKET,30950.0,03,0.0,0.0,0.0
Kadin,301,M404690237-0021,BEJ O YAKA TRİKO,8950.0,03,0.0,0.0,0.0
Kadin,301,M301556057-0012,BEYAZ GÖMLEK,19950.0,03,0.0,0.0,0.0
Kadin,301,M405283113-0021-0078,BEJ V YAKA TRİKO,6950.0,03,0.0,0.0,0.0
Kadin,301,M404556788-0021,BEJ DAR PAÇA PANTOLON,15950.0,03,0.0,0.0,0.0
Kadin,301,M405386583-0021,BEJ DİK YAKA CEKET,30950.0,03,0.0,0.0,0.0
Kadin,301,M404700110-0014-0021,KAHVE HAKİM YAKA CEKET,52950.0,03,0.0,0.0,0.0
Kadin,301,M405282168-0054,ATLET,5950.0,03,0.0,0.0,
Kadin,301,M405487844-0027,EKRU BOL PAÇA PANTOLON,39950.0,03,0.0,0.0,0.0
Kadin,301,M405092257-0088,CAMEL DOKULU CEKET,80950.0,03,0.0,0.0,0.0
Kadin,301,M405487847-0025,KREM KISA KOLLU TRİKO,30950.0,03,0.0,0.0,0.0
Kadin,301,M405388873-0089-0021,ŞAPKA,7950.0,03,0.0,0.0,0.0
Kadin,301,M405124255-0021,BEJ İPEK CEKET,45950.0,03,0.0,0.0,0.0
Kadin,301,M301544041-0025,KREM CEKET,25165.0,03,-30.0,-30.0,-30.0
Kadin,301,M404556791-0025,KREM DAR PAÇA PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M404340145-0021-0027,BEJ KETEN PANTOLON,27950.0,03,0.0,0.0,0.0
Kadin,301,M404340144-0021-0027,BEJ KETEN YELEK,32950.0,03,0.0,0.0,0.0
Kadin,301,M301505797-0022,VİZON ÇİZGİLİ BORU PAÇA PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M301505912-0022,VİZON ÇİZGİLİ CEKET,30950.0,03,0.0,0.0,0.0
Kadin,301,M404810530-0037-0012,MİNT POLO YAKA KETEN T-SHIRT,15950.0,03,0.0,0.0,0.0
Kadin,301,M404509404-0029-0027,YEŞİL KETEN CEKET,30950.0,03,0.0,0.0,0.0
Kadin,301,M405124254-0038,MAVİ İPEK CEKET,50950.0,03,0.0,0.0,0.0
Kadin,301,M301505908-0046-0022,TURKUAZ ÇİZGİLİ BORU PAÇA PANTOLON,18950.0,03,0.0,0.0,0.0
