Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d
Kadin,301,M405283108-0029-0027,YEŞİL-EKRU TRİKO,6950.0,03,0.0
Kadin,301,M405311836-0021,BEJ KISA KOLLU TRİKO,8950.0,03,0.0
Kadin,301,M405325850-0089,ŞAPKA,10950.0,03,0.0
Kadin,301,M405336114-0038,MAVİ BALON KOLLU GÖMLEK,18950.0,03,0.0
Kadin,301,M405731595-0021,ETEK,25950.0,03,0.0
Kadin,301,M405817731-0027,EKRU KOLSUZ BLUZ,4950.0,03,0.0
Kadin,301,M405863782-0041,LACİVERT KARE YAKA ASKILI TULUM,25950.0,03,0.0
Kadin,301,M405942277-0027,EKRU KAPUŞONLU SWEATSHİRT,15950.0,03,0.0
Kadin,301,M405942278-0027,EKRU BORU PAÇA SPOR PANTOLON,12950.0,03,0.0
Kadin,301,M405942281-0002,SİYAH CEKET,27950.0,03,0.0
Kadin,301,M301505793-0041-0012,LACİVERT DESENLİ ELBİSE,23950.0,03,0.0
Kadin,301,M301505794-0029-0012,YEŞİL ASKILI ASİMETRİK ELBİSE,19950.0,03,0.0
Kadin,301,M301542007-0041,LACİVERT UZUN KOLLU BLUZ,20950.0,03,0.0
Kadin,301,M301544043-0002,SİYAH KRUVAZE YAKA CEKET,35950.0,03,0.0
Kadin,301,M301564166-0041,LACİVERT KIRLANGIÇ YAKA CEKET,35950.0,03,0.0
Kadin,301,M301567005-0021-0029,BEJ KOLSUZ ELBİSE,22950.0,03,0.0
Kadin,301,M301602027-0038,MAVİ PARLAK KETEN BLUZ,12950.0,03,0.0
Kadin,301,M301635941-0085,ÇOK RENKLİ ÇİZGİLİ GÖMLEK,16950.0,03,0.0
Kadin,301,M301635942-0085,ÇOK RENKLİ ÇİZGİLİ BOL PAÇA PANTOLON,17950.0,03,0.0
Kadin,301,M301671616-0041-0002,LACİVERT KOLSUZ DİZ ÜSTÜ ELBİSE,27950.0,03,0.0
Kadin,301,M402995431-0021,BEJ TRANSPARAN GÖMLEK,25950.0,03,0.0
Kadin,301,M402995433-0021,BEJ ETEK,40950.0,03,0.0
Kadin,301,M403458014-0021,BEJ V YAKA TRİKO,55950.0,03,0.0
Kadin,301,M403597671-0009-0002,GÜMÜŞ KOLYE,15950.0,03,0.0
Kadin,301,M403599305-0009-0005,KOLYE,20950.0,03,0.0
Kadin,301,M403607679-0027-0021,TRİKO,68950.0,03,0.0
Kadin,301,M403630626-0027-0009,EKRU PAYETLİ PANTOLON,54950.0,03,0.0
Kadin,301,M403630634-0021,BEJ KOLSUZ BLUZ,23950.0,03,0.0
Kadin,301,M404345625-0055,KIRMIZI NAKIŞLI GÖMLEK,80950.0,03,0.0
Kadin,301,M404345627-0013,KIRIK BEYAZ GÖMLEK,80950.0,03,0.0
Kadin,301,M404345632-0013,PANTOLON,90950.0,03,0.0
Kadin,301,M404372982-0041,ETEK,25950.0,03,0.0
Kadin,301,M404372983-0041,GÖMLEK,25950.0,03,0.0
Kadin,301,M404372984-0041,LACİVERT ELBİSE,25950.0,03,0.0
Kadin,301,M404372996-0012,BEYAZ KISA KOLLU ELBİSE,25950.0,03,0.0
Kadin,301,M404372998-0041-0027,LACİVERT DESENLİ GÖMLEK,20950.0,03,0.0
Kadin,301,M404373000-0002,SİYAH KOLSUZ ELBİSE,30950.0,03,0.0
Kadin,301,M404401670-0021,BEJ KISA KOLLU TRİKO,25950.0,03,0.0
Kadin,301,M404443319-0063,PEMBE KETEN ELBİSE,19950.0,03,0.0
Kadin,301,M404480371-0021,BEJ KISA KOLLU GÖMLEK,30950.0,03,0.0
Kadin,301,M404480396-0031,PANTOLON,25950.0,03,0.0
Kadin,301,M404480408-0027,PANTOLON,25950.0,03,0.0
Kadin,301,M404496746-0004-0009,GRİ O YAKA TRİKO,25950.0,03,0.0
Kadin,301,M404496748-0041-0012,LACİVERT KAYIK YAKA TRİKO,25950.0,03,0.0
Kadin,301,M404497957-0027,EKRU POLO YAKA BLUZ,20950.0,03,0.0
Kadin,301,M404497958-0027,PANTOLON,20950.0,03,0.0
Kadin,301,M404507272-0012-0038,PANTOLON,20950.0,03,0.0
Kadin,301,M404509395-0012-0004,BEYAZ-GRİ KOLSUZ BLUZ,15950.0,03,0.0
Kadin,301,M404556791-0025,PANTOLON,18950.0,03,0.0
Kadin,301,M404564780-0021,BEJ KAPUŞONLU YELEK,35950.0,03,0.0
Kadin,301,M404576969-0004,GRİ V YAKA SÜVETER,39950.0,03,0.0
Kadin,301,M404576973-0006,KOYU GRİ O YAKA TRİKO,40950.0,03,0.0
Kadin,301,M404576974-0027,EKRU UZUN KOLLU GÖMLEK,45950.0,03,0.0
Kadin,301,M404634855-0031,HAKİ İPEK BLUZ,40950.0,03,0.0
Kadin,301,M404676448-0038,JEAN PANTOLON,25950.0,03,0.0
Kadin,301,M404707599-0038-0054,MAVİ-LİLA RAMİ GÖMLEK,18950.0,03,0.0
Kadin,301,M404707602-0038-0054,ETEK,30950.0,03,0.0
Kadin,301,M404832401-0027,MONT,42950.0,03,0.0
Kadin,301,M404909780-0021,BEJ TRİKO,6950.0,03,0.0
Kadin,301,M405053620-0021,BEJ KRUVAZE CEKET,45950.0,03,0.0
Kadin,301,M405053622-0021,PANTOLON,25950.0,03,0.0
Kadin,301,M405092299-0027,EKRU DANTELLİ BLUZ,40950.0,03,0.0
Kadin,301,M405104233-0012-0041,BEYAZ-MAVİ DESENLİ BLUZ,15950.0,03,0.0
Kadin,301,M405104234-0002-0012,SİYAH-BEYAZ DESENLİ ELBİSE,22950.0,03,0.0
Kadin,301,M405104657-0027-0041,EKRU NOPELİ CEKET,30950.0,03,0.0
Kadin,301,M405104660-0012-0014,BEYAZ-KAHVE DESENLİ BLUZ,10950.0,03,0.0
Kadin,301,M405104661-0002-0012,PANTOLON,15950.0,03,0.0
Kadin,301,M405261210-0027-0004,EKRU-GRİ ÇİZGİLİ TRİKO,6950.0,03,0.0
Kadin,301,M405282170-0029-0037,YEŞİL ÇİZGİLİ TRİKO,8950.0,03,0.0
Kadin,301,M405283115-0004-0027,GRİ O YAKA TRİKO,6950.0,03,0.0
Kadin,301,M405300103-0021-0078,TURUNCU DEGRADE TRİKO,12950.0,03,0.0
Kadin,301,M405300104-0021,CAMEL POLO YAKA TRİKO,10950.0,03,0.0
Kadin,301,M405300105-0027-0021,EKRU-BEJ V YAKA TRİKO,12950.0,03,0.0
Kadin,301,M405311838-0027,EKRU POLO YAKA TRİKO,10950.0,03,0.0
Kadin,301,M405325852-0089-0002,ŞAPKA,10950.0,03,0.0
Kadin,301,M405336106-0021,BLUZ,15950.0,03,0.0
Kadin,301,M405358051-0021-0022,BEJ ŞAPKA,8950.0,03,0.0
Kadin,301,M405386579-0021-0038,MAVİ PÜSKÜLLÜ CEKET,30950.0,03,0.0
Kadin,301,M405387040-0046-0038,TURKUAZ ÇİZGİLİ İPEK ELBİSE,22950.0,03,0.0
Kadin,301,M405387042-0038-0017,MAVİ-TABA DESENLİ ELBİSE,22950.0,03,0.0
Kadin,301,M405477243-0038-0002,SİYAH-MAVİ CEKET,52950.0,03,0.0
Kadin,301,M405477245-0002-0038,SİYAH BORU PAÇA PANTOLON,40950.0,03,0.0
Kadin,301,M405660573-0021-0092,PANTOLON,20950.0,03,0.0
