id,shown_price,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Danone Çilekli Meyveli Yoğurt 400 Gr,89.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Dany Çilekli Yoğurt 2*90 Gr,52.0,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Hüpper Meyveli Yoğurt 67 Gr,35.0,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Kakao Aromalı Süt 180 Ml,26.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Kakaolu Süt 6*180 Ml,119.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Krema Bitkisel Yağlı 200 Ml,22.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Orman Meyveli Yoğurt 400 Gr,89.9,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Suprix Frozen Çilekli Yoğurt 90 Gr,57.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Suprix Marvel Çilekli Yoğurt 90 Gr,57.5,"Süt, Kahvaltılık, Sark.",01,,,,
Danone Tikveşli Krema %18 Yağlı 200 Ml,59.5,"Süt, Kahvaltılık, Sark.",01,,,,
Dr. Oetker Vitalis Sütlü Bitter Çikolatalı Müsli 450 Gr,224.95,"Süt, Kahvaltılık, Sark.",01,,,,
Dr.Oetker Yogotella Çilek&Muz Hazır Yoğurt,31.45,"Süt, Kahvaltılık, Sark.",01,,,,
Dr.Oetker Yogotella Kayısı&Şeftali Hazır Yogurt,31.45,"Süt, Kahvaltılık, Sark.",01,,,,
Dr.Oetker Yogotella Orman Meyveli Hazır Yoğurt,31.45,"Süt, Kahvaltılık, Sark.",01,,,,
Ege Baklavalık Yufka 800 Gr,139.9,"Süt, Kahvaltılık, Sark.",01,,,,
Eker Ananaslı Kefir 200 Ml,29.9,"Süt, Kahvaltılık, Sark.",01,,,,
Eker Çilekli Kefir 1000 Ml,115.75,"Süt, Kahvaltılık, Sark.",01,,,,
Eker Çilekli Kefir 200 Ml,29.9,"Süt, Kahvaltılık, Sark.",01,,,,
Eker Çilekli Probiyotik Yoğurt 4*100 Gr,92.5,"Süt, Kahvaltılık, Sark.",01,,,,
Eker Çilekli Probiyotik Yoğurt 400 Gr,83.95,"Süt, Kahvaltılık, Sark.",01,,,,
