id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
ABC Dağ Rüzgarı Ultra Çamaşır Suyu 750 Ml,Deterjan ve Temizlik,3179,64.9,05,0.0,0.0,0.0,0.0
ABC İpeksi Yumuşaklık Aşk Çamaşır Yumuşatıcısı 5 Lt,Deterjan ve Temizlik,3173,199.9,05,0.0,0.0,53.88760585065435,0.0
ABC İpeksi Yumuşaklık Huzur Çamaşır Yumuşatıcısı 5 Lt,Deterjan ve Temizlik,3172,199.9,05,0.0,0.0,53.88760585065435,0.0
ABC İpeksi Yumuşaklık Tutku Çamaşır Yumuşatıcısı 5 Lt,Deterjan ve Temizlik,3170,199.9,05,0.0,0.0,53.88760585065435,0.0
ABC Jel Power Renkliler İçin Sıvı Çamaşır Deterjanı 2145 Ml,Deterjan ve Temizlik,12211,199.9,05,0.0,0.0,0.0,
ABC Karbonatlı Ultra Çamaşır Suyu 3250 Ml,Deterjan ve Temizlik,3182,169.9,05,0.0,0.0,0.0,0.0
ABC Leke Karşıtı Sıvı Çamaşır Deterjanı 2700 Ml,Deterjan ve Temizlik,3947,219.9,05,0.0,0.0,57.18370264474625,0.0
ABC Matik Gül Tutkusu Çamaşır Deterjanı 6 Kg,Deterjan ve Temizlik,3166,299.9,05,0.0,0.0,0.0,0.0
ABC Misket Limonlu Bulaşık Deterjanı 4 Lt,Deterjan ve Temizlik,3178,199.9,05,0.0,,0.0,0.0
Abc Narinler Sıvı Çamaşır Deterjanı 3 Lt,Deterjan ve Temizlik,12884,219.9,05,0.0,0.0,57.18370264474625,0.0
ABC Parfumia Büyüleyici Yasemin Konsantre Yumuşatıcı 1440 Ml,Deterjan ve Temizlik,3175,149.9,05,0.0,0.0,0.0,0.0
ABC Parfumia Gizemli Lotus Konsantre Yumuşatıcı 1440 Ml,Deterjan ve Temizlik,3176,149.9,05,0.0,0.0,0.0,0.0
ABC Parfumia Romantik Gül Konsantre Yumuşatıcı 1440 Ml,Deterjan ve Temizlik,3174,149.9,05,0.0,0.0,0.0,0.0
ABC Parfumia Tutkulu Dahlia Konsantre Yumuşatıcı 1440 Ml,Deterjan ve Temizlik,3177,149.9,05,0.0,0.0,0.0,0.0
