product-name,product-price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Maybelline New York Fit Me Kapatıcı 05 Ivory,949.9,949.9,Maybelline New York Fit Me Kapatıcı 05 Ivory,12,0.0,0.0,0.0,
L'Oreal Paris Infaillible Matte Resist Likit Ruj 420 Le Rouge Paris,1699.9,1699.9,L'Oreal Paris Infaillible Matte Resist Likit Ruj 420 Le Rouge Paris,12,0.0,,,
Maybelline New York Super Stay Skin Tint Fondöten 05,2049.9,2049.9,Maybelline New York Super Stay Skin Tint Fondöten 05,12,0.0,0.0,0.0,
Pure Beauty Cushion Krem Natural 12 g,1599.9,1599.9,Pure Beauty Cushion Krem Natural 12 g,12,0.0,0.0,0.0,
Unfilter Beauty Lip Gloss 08 Chill Baby,299.9,299.9,Unfilter Beauty Lip Gloss 08 Chill Baby,12,0.0,0.0,0.0,
SKIN SENSUAL SPF 50+ BB KREM LIGHT 50ML,799.9,799.9,SKIN SENSUAL SPF 50+ BB KREM LIGHT 50ML,12,0.0,,,
Note New Era Skin Protect Kapatıcı 30,749.9,749.9,Note New Era Skin Protect Kapatıcı 30,12,0.0,,0.0,
Kiss Impress Color Kendinden Yapışkanlı Takma Tırnak Uzun Kırmızı Medium 510 30'lu,599.9,599.9,Kiss Impress Color Kendinden Yapışkanlı Takma Tırnak Uzun Kırmızı Medium 510 30'lu,12,0.0,0.0,0.0,
Nyx Professional Makeup Fat Oil Lip Drip Parlatıcı Dudak Yağı Status Update,1049.9,1049.9,Nyx Professional Makeup Fat Oil Lip Drip Parlatıcı Dudak Yağı Status Update,12,0.0,0.0,,
L'Oreal Paris Infaillible Matte Resistance Likit Mat Ruj 115 Snooze Your Alarm,1699.9,1699.9,L'Oreal Paris Infaillible Matte Resistance Likit Mat Ruj 115 Snooze Your Alarm,12,0.0,0.0,,
Maybelline New York Babyskin Primer Pore Eraser,829.9,829.9,Maybelline New York Babyskin Primer Pore Eraser,12,0.0,0.0,0.0,
L'Oreal Paris Lumi Bronzlaştırıcı Stick 110 Toasted Sunlight,1139.9,1139.9,L'Oreal Paris Lumi Bronzlaştırıcı Stick 110 Toasted Sunlight,12,0.0,0.0,0.0,
Revolution Reloaded Dimension Neutral Charm Far Paleti,934.9,934.9,Revolution Reloaded Dimension Neutral Charm Far Paleti,12,0.0,0.0,0.0,
Maybelline New York Vinyl Ink Ruj Cheeky No: 35,1599.9,1599.9,Maybelline New York Vinyl Ink Ruj Cheeky No: 35,12,0.0,0.0,0.0,
Revolution Conceal & Define C1 Kapatıcı,814.9,814.9,Revolution Conceal & Define C1 Kapatıcı,12,0.0,0.0,0.0,
Flormar Hero Volume&Curl Brown Maskara,1049.9,1049.9,Flormar Hero Volume&Curl Brown Maskara,12,0.0,0.0,0.0,
L'Oreal Paris True Match Nude Fondöten Serum 0.5 2 Very Light,2149.9,2149.9,L'Oreal Paris True Match Nude Fondöten Serum 0.5 2 Very Light,12,0.0,0.0,0.0,
Nascita Garden Fondöten Fırçası,309.9,309.9,Nascita Garden Fondöten Fırçası,12,0.0,0.0,0.0,
Nyx Professional Makeup Lip Lingerie Stain Dudak Kalemi 05 Lip Lock,949.9,949.9,Nyx Professional Makeup Lip Lingerie Stain Dudak Kalemi 05 Lip Lock,12,0.0,0.0,0.0,
Nyx Professional Makeup Control Freak Kaş Sabitleyici Jel,849.9,849.9,Nyx Professional Makeup Control Freak Kaş Sabitleyici Jel,12,0.0,,,
Maybelline New York Fit Me Kapatıcı 15 Fair,949.9,949.9,Maybelline New York Fit Me Kapatıcı 15 Fair,12,0.0,0.0,0.0,
Nyx Professional Makeup Lip Lingerie Stain Dudak Kalemi 07 Cuff Me,949.9,949.9,Nyx Professional Makeup Lip Lingerie Stain Dudak Kalemi 07 Cuff Me,12,0.0,,0.0,
Revolution Ultra Bronzer Medium,814.9,814.9,Revolution Ultra Bronzer Medium,12,0.0,0.0,0.0,
Nyx Professional Makeup Make em Wonder Fondöten 010 Nude,999.9,999.9,Nyx Professional Makeup Make em Wonder Fondöten 010 Nude,12,0.0,0.0,0.0,
The Purest Solutions Hydra Serum Fondöten Light 30 ml,1099.9,1099.9,The Purest Solutions Hydra Serum Fondöten Light 30 ml,12,0.0,0.0,0.0,
Nyx Professional Makeup Jelly Job Dudak Parlatıcısı Cherry Jelly,949.9,949.9,Nyx Professional Makeup Jelly Job Dudak Parlatıcısı Cherry Jelly,12,0.0,,,
Deborah Milano Extraordinary 5in1 Maskara Siyah,824.9,824.9,Deborah Milano Extraordinary 5in1 Maskara Siyah,12,0.0,,,
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 04 Pink Daydream,1199.9,1199.9,Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 04 Pink Daydream,12,0.0,,,
L'Oreal Paris True Match Nude Fondöten Serum 2 3 Light,2149.9,2149.9,L'Oreal Paris True Match Nude Fondöten Serum 2 3 Light,12,0.0,0.0,0.0,
Maybelline New York Serum Etkili Hyaluronik Asit ve Besleyici Yağ İçeren Ruj Satin Crop Top 001,1049.9,1049.9,Maybelline New York Serum Etkili Hyaluronik Asit ve Besleyici Yağ İçeren Ruj Satin Crop Top 001,12,0.0,0.0,0.0,
